               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.019552,            0.076971,                   0,                   1,                   1,             0.99668,             0.87819,            0.011994,             0.04376,                   0,           0.0086137,           0.0086137,           0.0086137
                  43,            0.019624,            0.079158,                   0,             0.99947,             0.99948,             0.99707,             0.87308,            0.011998,            0.044582,                   0,           0.0085497,           0.0085497,           0.0085497
                  44,            0.018611,            0.076308,                   0,                   1,                   1,             0.99745,             0.90202,            0.010376,            0.040448,                   0,           0.0084846,           0.0084846,           0.0084846
                  45,            0.019865,            0.079396,                   0,             0.99895,             0.99895,              0.9963,             0.88633,            0.011243,            0.041562,                   0,           0.0084184,           0.0084184,           0.0084184
                  46,            0.019681,            0.076803,                   0,                   1,                   1,              0.9964,              0.8977,            0.010822,                0.04,                   0,           0.0083511,           0.0083511,           0.0083511
                  47,            0.019312,            0.077013,                   0,             0.99895,                   1,             0.99658,             0.88693,            0.011587,            0.043929,                   0,           0.0082829,           0.0082829,           0.0082829
                  48,            0.019412,            0.078326,                   0,             0.99947,             0.99948,             0.99641,             0.85758,            0.013108,            0.046556,                   0,           0.0082136,           0.0082136,           0.0082136
                  49,            0.019143,             0.07799,                   0,                   1,                   1,             0.99685,             0.90951,             0.01001,              0.0381,                   0,           0.0081433,           0.0081433,           0.0081433
                  50,             0.01858,            0.074951,                   0,                   1,                   1,             0.99736,             0.91224,            0.010372,            0.038796,                   0,           0.0080721,           0.0080721,           0.0080721
                  51,            0.018432,            0.074712,                   0,                   1,                   1,             0.99703,             0.90971,           0.0099596,             0.03877,                   0,               0.008,               0.008,               0.008
                  52,             0.01887,            0.075565,                   0,                   1,                   1,             0.99626,             0.88429,            0.011585,            0.041839,                   0,            0.007927,            0.007927,            0.007927
                  53,            0.018037,            0.072798,                   0,                   1,                   1,             0.99694,             0.89142,            0.010513,            0.038814,                   0,           0.0078532,           0.0078532,           0.0078532
